name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,GENRE 7
106,JISOO,6UZ0ba50XreR4TM8u322gs,69CrOS7vEHIrhC2ILyEi0s,FLOWER,83,69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,4,k-pop,,,,,,,
107,เรนิษรา,2UmVsCJpQoAGPcaKbCyheW,7BUHKcrvmr9WIAgEBkwukl,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว),73,7BUHKcrvmr9WIAgEBkwukl,0.579,0.341,7,-10.106,1,0.0272,0.521,0.103,0.147,0.375,90.061,270033,4,thai pop,,,,,,,
109,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,5Odq8ohlgIbQKMZivbWkEo,Left and Right (Feat. Jung Kook of BTS),88,5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4,pop,viral pop,,,,,,
110,BTS,3Nrfpe0tUJi4K4DXYWgMUX,5IAESfJjmOYu7cHyX557kz,Take Two,94,5IAESfJjmOYu7cHyX557kz,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4,k-pop,k-pop boy group,pop,,,,,
111,TAEYANG,6udveWUgX4vu75FF0DTrXV,5HrIcZOo1DysX53qDRlRnt,Shoong! (feat. LISA of BLACKPINK),79,5HrIcZOo1DysX53qDRlRnt,0.763,0.699,11,-6.118,0,0.0554,0.00789,0.0,0.409,0.255,110.01,205101,4,k-pop,korean r&b,,,,,,
112,Cocktail,6JrR3zrG0NQiXb9N9XSyGb,38uarkAk3Y13onWxwj0MIq,ไม่เป็นรอง,71,38uarkAk3Y13onWxwj0MIq,0.418,0.634,9,-6.664,1,0.0362,0.624,0.0,0.128,0.375,186.026,293226,4,thai pop,thai rock,,,,,,
113,DIDIxDADA,2wd5kKWvp9e1i7rBtvvGSc,7KmY6wBpheP60rFEJPJBqN,จังหวะตกหลุมรัก - Magic Moment,71,7KmY6wBpheP60rFEJPJBqN,0.563,0.424,6,-6.757,1,0.0453,0.503,0.0,0.196,0.279,188.014,188617,3,thai pop,,,,,,,
114,JUNENOM,2UFwI4H1ZRWRRCdsxC9N7N,7cwlsNRPvS8v5IqgdScwM8,กาลครั้งนึง,66,7cwlsNRPvS8v5IqgdScwM8,0.638,0.188,7,-15.922,1,0.0526,0.853,0.0,0.137,0.368,75.125,313938,4,,,,,,,,
115,YEW,2xsBUJ327d3iC1LvL5hYrQ,0ZcyX8hFV1jdJNWOI8mMXF,Summertime,71,0ZcyX8hFV1jdJNWOI8mMXF,0.562,0.325,7,-13.669,1,0.0314,0.87,2.39e-05,0.0903,0.474,131.799,246818,3,thai indie rock,thai pop,,,,,,
116,First Anuwat,4KjqrvqKO5fbI5yDR5yzny,7jq0O5rfrzEIqNOsc7v9JT,เดินมาส่ง - BYE,70,7jq0O5rfrzEIqNOsc7v9JT,0.689,0.721,7,-6.583,1,0.0589,0.244,0.0,0.31,0.307,92.067,205435,4,thai pop,,,,,,,
