name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5"
"Michelle Maciel",4WFwvZ4L8FZbt3qubbQJS6,7uuqrSuCjWxPTCVyOeGMyt,CCC,85,7uuqrSuCjWxPTCVyOeGMyt,0.711,0.914,7,-2.766,0,0.0677,0.0891,0.0,0.0749,0.939,148.056,126081,3,"urbano mexicano","","","",""
"Natanael Cano",0elWFr7TW8piilVRYJUe4P,1VvoSJiPG9dFsDQjTkACvG,AMG,79,1VvoSJiPG9dFsDQjTkACvG,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,174943,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
Quevedo,52iwsT98xCoGgiGntTiR7K,6XbtvPmIpyCbjuT0e8cQtp,Columbia,95,6XbtvPmIpyCbjuT0e8cQtp,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,186000,4,"rap canario","trap latino","urbano latino","",""
"Ryan Castro",7j6DKwmjbxvpQO8h914uEz,2hn2zOA2XFlv6DSmesylrL,QUEMA,84,2hn2zOA2XFlv6DSmesylrL,0.791,0.892,0,-2.58,1,0.0521,0.0509,0.000355,0.0609,0.916,97.008,150619,4,reggaeton,"trap colombiano","trap latino","urbano latino",""
"Tito Double P",5eumcnUkdmGvkvcsx1WFNG,0FkD2FHEZrZIofVkY6XPFK,"DEMBOW BÉLICO",86,0FkD2FHEZrZIofVkY6XPFK,0.881,0.551,2,-6.41,1,0.123,0.0205,0.16,0.19,0.196,119.951,126523,4,"","","","",""
"Cartel De Santa",07PdYoE4jVRF6Ut40GgVSP,55ZATsjPlTeSTNJOuW90pW,"Shorty Party",87,55ZATsjPlTeSTNJOuW90pW,0.928,0.468,2,-8.196,1,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000,4,"latin hip hop","mexican hip hop","","",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,0IKeDy5bT9G0bA7ZixRT4A,"Bebe Dame",85,0IKeDy5bT9G0bA7ZixRT4A,0.529,0.602,7,-4.629,1,0.0458,0.299,0.0,0.0716,0.756,157.643,271862,4,corrido,"corridos tumbados","sad sierreno",sierreno,""
Belanova,3oNy8cjBtJzLC07I70sklp,6Z0ybnsUBhbZ9ZjPW64eoF,"Rosa Pastel",64,6Z0ybnsUBhbZ9ZjPW64eoF,0.811,0.614,11,-7.089,0,0.0309,0.0215,0.00491,0.431,0.662,128.016,185933,4,"latin arena pop","latin pop","mexican pop","",""
"KAROL G",790FomKkXshlbRYZFtlgla,0DWdj2oZMBFSzRsi2Cvfzf,TQG,94,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440,4,reggaeton,"reggaeton colombiano","trap latino","urbano latino",""
"Natanael Cano",0elWFr7TW8piilVRYJUe4P,5PLqXnvHH7Gh6CcfiUEr7e,"Mas Altas Que Bajadas",85,5PLqXnvHH7Gh6CcfiUEr7e,0.6,0.6,2,-7.715,0,0.115,0.00388,0.0,0.122,0.595,90.435,194920,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
"El Charlee",2HzPgQiQIeNPhKnc1GN085,7K23M56FcDPAJzF4LR7dA4,"La 701",48,7K23M56FcDPAJzF4LR7dA4,0.847,0.825,5,-4.916,1,0.0441,0.294,0.0,0.187,0.888,149.889,180210,3,"","","","",""
"Becky G",4obzFoKoKRHIphyHzJ35G3,5RcxRGvmYai7kpFSfxe5GY,Chanel,89,5RcxRGvmYai7kpFSfxe5GY,0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,201993,3,"latin pop","latin viral pop","rap latina",reggaeton,"urbano latino"
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,3B0swL7Qil9bB7eKzBREBK,VVS,86,3B0swL7Qil9bB7eKzBREBK,0.632,0.729,7,-3.066,1,0.112,0.414,0.0,0.0987,0.862,110.238,162676,3,"sad sierreno","","","",""
"Fuerza Regida",0ys2OFYzWYB5hRDLCsBqxt,17js0w8GTkTUFGFM6PYvBd,"Igualito a Mi Apá",88,17js0w8GTkTUFGFM6PYvBd,0.758,0.812,4,-3.272,0,0.0854,0.188,0.0,0.0564,0.795,144.908,166821,4,corrido,"corridos tumbados","sad sierreno",sierreno,""
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,4yjeRuoVickg1G87LWeRes,"ROSA PASTEL",79,4yjeRuoVickg1G87LWeRes,0.702,0.68,7,-5.451,0,0.0373,0.24,0.0,0.111,0.86,122.895,204253,3,"sad sierreno","","","",""
"Junior H",7Gi6gjaWy3DxyilpF1a8Is,1RGlfmdvcfatN0ZLOmzanS,"El Hijo Mayor",85,1RGlfmdvcfatN0ZLOmzanS,0.571,0.567,8,-6.873,1,0.0994,0.431,0.0,0.129,0.967,165.332,196500,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
"Eslabon Armado",0XeEobZplHxzM9QzFQWLiR,6X5WZbJzXtk6aO03HlxuZ9,"Así Lo Quiso Dios",88,6X5WZbJzXtk6aO03HlxuZ9,0.698,0.664,8,-4.027,0,0.0406,0.302,0.0,0.268,0.747,144.981,205300,3,corrido,"corridos tumbados","sad sierreno",sierreno,""
"KAROL G",790FomKkXshlbRYZFtlgla,505v13epFXodT9fVAJ6h8k,AMARGURA,92,505v13epFXodT9fVAJ6h8k,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,170480,4,reggaeton,"reggaeton colombiano","trap latino","urbano latino",""
"Natanael Cano",0elWFr7TW8piilVRYJUe4P,5pnj8s1C1LnwkiIRrsLXSg,"Pacas De Billetes",77,5pnj8s1C1LnwkiIRrsLXSg,0.718,0.726,7,-5.91,0,0.0403,0.0889,0.0,0.294,0.925,142.986,188075,3,corrido,"corridos tumbados","musica mexicana","sad sierreno",sierreno
"Peso Pluma",12GqGscKJx3aE4t07u7eVZ,0lc2neV7ZzjZExwCIVG2B3,"LAS MORRAS",77,0lc2neV7ZzjZExwCIVG2B3,0.782,0.793,9,-5.177,0,0.0387,0.4,6.98e-06,0.0824,0.869,132.997,155551,3,"sad sierreno","","","",""
"El Chachito",6OP8Y0UsezppFkU1hZU6EJ,1Fuc3pBiPFxAeSJoO8tDh5,"En Paris",86,1Fuc3pBiPFxAeSJoO8tDh5,0.702,0.483,3,-7.99,0,0.0524,0.366,0.000131,0.124,0.769,138.842,162795,3,corrido,"corridos tumbados",sierreno,"",""
