name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4"
YourMOOD,5YcdFv3OumeTW8cVW788gT,3vfwUrq22haMmIJyyyI7Hq,"ลาก่อน",70,3vfwUrq22haMmIJyyyI7Hq,0.563,0.852,11,-7.114,1,0.0319,0.0175,0.00135,0.108,0.764,135.012,188500,4,"thai pop","","",""
SHERRY,3Uzr5SP3rk1GL9OdPYL0Rz,5LEp7WRnb0T3L2R2mTa9IZ,"เธอไม่ได้สอนให้ฉันอยู่คนเดียว",69,5LEp7WRnb0T3L2R2mTa9IZ,0.504,0.589,10,-7.492,1,0.0271,0.0493,0.00451,0.16,0.491,142.047,277962,4,"thai indie","","",""
ARMOR,5mgTHOrzHxFvdg8AgUsGuD,45dtFcaOs4lBf8gXAAoN8W,"Fall in Love",66,45dtFcaOs4lBf8gXAAoN8W,0.703,0.566,2,-6.878,1,0.0337,0.449,0.000136,0.359,0.425,87.965,199145,4,"","","",""
bamm,2ORibfYGMt8fuIimSDCTq1,47WfK6QKlLwIOxJaonJ3bA,"ใครเพื่อนแก",70,47WfK6QKlLwIOxJaonJ3bA,0.69,0.698,6,-6.294,1,0.04,0.271,0.0,0.102,0.732,144.053,248333,4,"thai pop","","",""
"FIFTY FIFTY",4GJ6xDCF5jaUqD6avOuQT6,7FbrGaHYVDmfr7KoLIZnQ7,"Cupid - Twin Ver.",97,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4,"k-pop girl group","","",""
QLER,1P3bwZsaq5vobeBAmrsAFk,3MIVadmVbWGZR0VzNceGt1,"ใจลอย",69,3MIVadmVbWGZR0VzNceGt1,0.641,0.582,9,-8.298,1,0.0356,0.758,0.143,0.184,0.624,147.951,197432,4,"thai pop","","",""
Safeplanet,1DsSoeOUg0YS2hl2czNcbw,2RJ7Q3gHb6cOeNBioSARni,"ข้างกาย ( With You )",67,2RJ7Q3gHb6cOeNBioSARni,0.573,0.874,11,-4.859,1,0.0271,0.101,0.0,0.0798,0.571,101.976,256875,4,"thai indie pop","thai pop","",""
"Anatomy Rabbit",73M9RjjrrKjXnf6Is6hNdg,3qMYr2bVu2HpSKrSJ2zj8K,"แอบหวัง",69,3qMYr2bVu2HpSKrSJ2zj8K,0.422,0.391,2,-8.529,1,0.0359,0.548,0.189,0.14,0.628,170.401,235059,4,"thai folk","thai indie pop","thai pop",""
THEMOONWILLALWAYSBEWITHME,0yVywi4NwefY85n4BxZMaz,3Ry2KPewzbt43hiQPTnDTK,"ซูลูปาก้า ตาปาเฮ้",69,3Ry2KPewzbt43hiQPTnDTK,0.578,0.569,9,-8.811,1,0.0786,0.441,0.00883,0.112,0.734,168.132,225714,4,"thai pop","","",""
Mirrr,5zSQoNQ9o2dnT1LPTzDxg7,1rNYuv63emsYt4Jjv8RlgJ,"เจ้าของที่",65,1rNYuv63emsYt4Jjv8RlgJ,0.631,0.822,5,-4.793,1,0.0269,0.213,0.00101,0.212,0.879,149.886,240008,4,"thai indie pop","thai pop","",""
"Three Man Down",1qAOsY7jv9GFTv4HoVof5P,0gfAnUVd4sH8IiCWvF3j9P,"เปิดตัวเขา (Rebound)",67,0gfAnUVd4sH8IiCWvF3j9P,0.486,0.853,11,-4.68,1,0.0958,0.173,0.0,0.165,0.785,166.096,218731,4,"thai indie pop","thai pop","",""
"AYLA's",2XiaPu2j4nBMhF8pIlt6Bk,4fwPmzupzsPEzwquuuVaiw,"จากตรงนี้ที่(เคย)สวยงาม [La La Bye]",69,4fwPmzupzsPEzwquuuVaiw,0.605,0.452,11,-8.951,1,0.0264,0.47,2.98e-06,0.124,0.294,140.027,288250,4,"thai pop","","",""
"DJ Snake",540vIaP2JwjQb9dm3aArA4,6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",79,6IPNp9PfaEqrzotY47TIWy,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,4,edm,"electronic trap",pop,"pop dance"
Blackbeans,3u45DFB1kjVXKwE14FKXCo,2MvwYhejHpLfBcptTEWhDL,Pink,67,2MvwYhejHpLfBcptTEWhDL,0.594,0.799,9,-5.808,1,0.0245,0.0746,1.52e-05,0.0923,0.632,99.978,255750,4,"thai indie rock","thai pop","",""
PROXIE,4tNPboeMQnpoUX7IEbPLdF,4Z64nGulQN49i9D03NcF8a,"คนไม่คุย (Silent Mode)",69,4Z64nGulQN49i9D03NcF8a,0.783,0.642,7,-8.578,1,0.1,0.391,4.79e-06,0.115,0.682,100.022,230400,4,"thai pop","","",""
NewJeans,6HvZYsbFfjnjFrWF950C9d,65FftemJ1DbbZ45DUfHJXE,OMG,91,65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4,k-pop,"k-pop girl group","",""
"Jeff Satur",5xq3BK55BJmutN0X7eTyQB,4gNkIyfaf2iwPgeLSVIj8O,"ลืมไปแล้วว่าลืมยังไง (Fade)",70,4gNkIyfaf2iwPgeLSVIj8O,0.569,0.455,4,-10.193,1,0.0286,0.392,1.43e-05,0.0954,0.24,108.954,262387,4,"thai pop","","",""
CHRRISSA,3eK3fsbCi7wc4hThk9wSZO,4CdW5KKyIjrpx6Hz981dUt,"เลือดกรุ๊ปบี",69,4CdW5KKyIjrpx6Hz981dUt,0.545,0.732,2,-3.758,1,0.0613,0.756,0.0,0.0706,0.263,163.971,289756,4,"thai pop","","",""
PiXXiE,6HlUN1Md7UT62mNJHOYRsK,1UxVMaHEm6UJxGOg4ixSZO,"ไม่ได้ก็ไม่เอา",69,1UxVMaHEm6UJxGOg4ixSZO,0.67,0.681,2,-4.394,1,0.0365,0.243,0.0,0.165,0.731,140.026,168857,4,"t-pop girl group","thai pop","",""
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,7gRFDGEzF9UkBV233yv2dc,"Shut Down",79,7gRFDGEzF9UkBV233yv2dc,0.818,0.69,0,-5.119,1,0.0454,0.00327,0.0,0.186,0.688,110.071,175889,3,k-pop,"k-pop girl group",pop,""
Dept,1zVBNAJivxfj3HygJZOSw3,3LejSFG20mSl4IzORHa7Ya,17,64,3LejSFG20mSl4IzORHa7Ya,0.748,0.777,10,-4.783,1,0.043,0.0471,0.00426,0.126,0.97,121.034,210875,4,"thai indie rock","thai pop","",""
PURPEECH,3xlC7Dw0uiwprXDHCU9SAu,3v5g7khNHS9726iyuI1iUs,"หากจะเพียงขอ(Sincare)",68,3v5g7khNHS9726iyuI1iUs,0.563,0.387,7,-8.687,1,0.037,0.729,0.0185,0.108,0.262,180.009,317656,3,"thai pop","","",""
"เรนิษรา",2UmVsCJpQoAGPcaKbCyheW,4pfjFUrtfnnkADqijqKmzP,"ฉันคือนักสะสมความเศร้า",67,4pfjFUrtfnnkADqijqKmzP,0.361,0.485,7,-10.081,1,0.0387,0.412,0.0223,0.264,0.242,173.395,288025,4,"thai pop","","",""
"Boyd Kosiyabong",7LiltnpnD4Q60750gWXrgB,7gKB3piJMHJPRxgpr8jSoB,"เหมือนเคย (feat. Seattha Sirachaya)",48,7gKB3piJMHJPRxgpr8jSoB,0.624,0.672,5,-8.344,0,0.0339,0.26,1.25e-05,0.0796,0.366,110.938,334667,4,"thai pop","","",""
NewJeans,6HvZYsbFfjnjFrWF950C9d,6rdkCkjk6D12xRpdMXy0I2,"New Jeans",89,6rdkCkjk6D12xRpdMXy0I2,0.807,0.721,4,-6.211,0,0.0508,0.51,0.00216,0.115,0.532,134.014,108987,4,k-pop,"k-pop girl group","",""
VELIKA,1s5OUEKobcxAqQaDKQnRAi,467XT84TTQHkdifhD7eUgQ,"หากว่าฉันได้ครอบครอง",67,467XT84TTQHkdifhD7eUgQ,0.739,0.317,6,-15.296,1,0.0946,0.822,2.52e-06,0.107,0.439,124.942,208742,3,"","","",""
"Post Malone",246dkjvS1zLTtiykXe5h60,0RiRZpuVRbi7oqRdSMwhQY,"Sunflower - Spider-Man: Into the Spider-Verse",88,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4,"dfw rap","melodic rap",pop,rap
"Lower Mansion",0tNQk80J4jiIo3eOVvcda6,1uJbdRLz38VTAXxhyXRC85,"เพลงรักในวันลา",65,1uJbdRLz38VTAXxhyXRC85,0.453,0.434,5,-6.854,0,0.026,0.522,3.04e-06,0.531,0.236,170.022,268941,3,"","","",""
