name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4"
Sachet-Parampara,1SyKki7JI1AZNKwgNMkn25,5aMLADD1Ho6Ogq8s8mIzB9,"Ram Siya Ram (From ""Adipurush"")",79,5aMLADD1Ho6Ogq8s8mIzB9,0.426,0.617,1,-6.377,0,0.0278,0.599,6.25e-05,0.181,0.52,81.982,230092,4,"desi pop",filmi,"modern bollywood",""
"Daddy Yankee",4VMYDCV2IEDYJArk749S6m,228BxWXUYQPJrJYHDLOHkj,Gasolina,89,228BxWXUYQPJrJYHDLOHkj,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,192600,4,"latin hip hop",reggaeton,"trap latino","urbano latino"
"Laddi Chahal",3lmszXxkp47K9kDCRRPU8p,03yKEFruN3BS2coglBtt2N,"Rubicon Drill",82,03yKEFruN3BS2coglBtt2N,0.868,0.745,11,-5.82,0,0.268,0.187,0.000342,0.431,0.762,139.9,188571,4,"punjabi pop","","",""
"Various Artists",0LyfQWJT6nXafLPZqxe9Of,6TClJ8jXi3OBV7gcrU3jx5,"TERE TE",80,6TClJ8jXi3OBV7gcrU3jx5,0.692,0.488,7,-10.96,0,0.135,0.0508,0.0,0.154,0.299,171.9,114419,4,"","","",""
"Arijit Singh",4YRxDV8wJFPHPTeXepOstw,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",78,2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368,284780,4,filmi,"modern bollywood","",""
"AP Dhillon",6LEG9Ld1aLImEFEVHdWNSB,29m79w9xPMH4YCD6r8JSmV,Excuses,82,29m79w9xPMH4YCD6r8JSmV,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,176233,4,"desi hip hop","desi pop","punjabi hip hop","punjabi pop"
Pritam,1wRPtKGflJrBx9BmLsSwlU,2vPrBucKCfKmafHhSfJ2pt,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",82,2vPrBucKCfKmafHhSfJ2pt,0.772,0.767,0,-4.792,1,0.0381,0.138,0.0,0.557,0.866,122.024,216271,4,filmi,"indian instrumental","modern bollywood",""
"Madhur Sharma",2kfi47LWmlXzQ3p3kWonfQ,3mUkVsovIuscQlSoMhmAZt,"Kali Kali Zulfon Ke (Lo-Fi)",78,3mUkVsovIuscQlSoMhmAZt,0.358,0.463,7,-7.075,1,0.0375,0.816,0.0,0.155,0.15,152.353,77253,3,"desi pop","","",""
"Various Artists",0LyfQWJT6nXafLPZqxe9Of,72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",80,72zHuDxFQTjbL51qJQSA7j,0.603,0.573,1,-5.843,1,0.0502,0.478,0.0,0.0971,0.236,82.941,228855,4,"","","",""
"Vishal Mishra",5wJ1H6ud777odtZl5gG507,0645eBDehHcqfiF15hscQV,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",74,0645eBDehHcqfiF15hscQV,0.578,0.444,8,-11.447,0,0.0644,0.44,0.0,0.146,0.36,76.032,223390,4,"desi pop",filmi,"modern bollywood",""
"Vishal Mishra",5wJ1H6ud777odtZl5gG507,1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",76,1y1rQTkWmrZdJmjwuK07GC,0.385,0.464,2,-6.975,1,0.0404,0.452,0.0,0.109,0.15,137.839,234722,4,"desi pop",filmi,"modern bollywood",""
"Payal Dev",6FtZhorjCMfkaVJ7kKdmq7,3dpM3ijJz0vGzbkh5DcMXz,"Naseeb Se (From ""Satyaprem Ki Katha"")",79,3dpM3ijJz0vGzbkh5DcMXz,0.557,0.599,9,-6.309,0,0.0447,0.556,1.22e-06,0.103,0.392,149.785,184312,4,"desi pop",filmi,"modern bollywood",""
Sachin-Jigar,1mBydYMVBECdDmMfE2sEUO,6udC4b4jOSnHb9ItnXgKLR,Saibo,80,6udC4b4jOSnHb9ItnXgKLR,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058,195253,4,filmi,"gujarati pop","modern bollywood",""
"B Praak",56SjZARoEvag3RoKWIb16j,2Y2l0h051Vk4qUG2ZH7KKy,"Yaar Ka Sataya Hua Hai",78,2Y2l0h051Vk4qUG2ZH7KKy,0.728,0.734,6,-4.252,0,0.0449,0.271,0.0,0.0788,0.523,130.014,267692,4,"desi pop",filmi,"punjabi pop",""
"Sidhu Moose Wala",4PULA4EFzYTrxYvOVlwpiQ,5W7DOVGQLTigu09afW7QMT,295,82,5W7DOVGQLTigu09afW7QMT,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,270000,4,"desi hip hop","pakistani hip hop","punjabi hip hop","punjabi pop"
"Vishal Mishra",5wJ1H6ud777odtZl5gG507,0UZLaEOSIc5kg0cc7eszqC,Manjha,80,0UZLaEOSIc5kg0cc7eszqC,0.524,0.515,11,-7.478,0,0.0427,0.674,0.0,0.104,0.368,169.882,191647,4,"desi pop",filmi,"modern bollywood",""
