name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,"Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7"
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,4uLzGOlqSanpNS3htaUViY,Pátio do Posto - Ao Vivo,72,4uLzGOlqSanpNS3htaUViY,0.524,0.647,3,-7.117,0,0.0463,0.61,0.0,0.67,0.593,139.612,178548,4,agronejo,arrocha,sertanejo,sertanejo universitario,
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,2LTlykcdu0gwb7zcKneo2a,Melhor Só,85,2LTlykcdu0gwb7zcKneo2a,0.605,0.386,5,-9.965,0,0.166,0.272,0.0,0.107,0.55,142.133,229327,4,trap brasileiro,trap funk,,,
Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,3o4wcB1Y6xC62eF02n9RSZ,ELA PIROU NA DODGE RAM,86,3o4wcB1Y6xC62eF02n9RSZ,0.568,0.661,4,-3.148,0,0.232,0.309,0.0,0.098,0.619,85.402,179600,3,agronejo,,,,
Matuê,5nP8x4uEFjAAmDzwOEc9b8,3ktTWpYdXrYApH54cBo4Ap,Conexões de Máfia (feat. Rich The Kid),86,3ktTWpYdXrYApH54cBo4Ap,0.771,0.577,6,-6.944,0,0.0461,0.393,0.0,0.256,0.691,116.96,221538,4,r&b brasileiro,rap cearense,trap brasileiro,,
Hugo & Guilherme,1LIuN7ov1IBQDdLsU83ojl,7IPEkUJsnWYNyBkK2i2FPj,Mágica - Ao Vivo,75,7IPEkUJsnWYNyBkK2i2FPj,0.61,0.818,11,-5.202,1,0.0589,0.469,0.0,0.245,0.736,158.022,171730,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,7GScY8oE12cqTiNBzVQpUB,Mala dos Porta-Mala - Ao Vivo,75,7GScY8oE12cqTiNBzVQpUB,0.657,0.778,7,-4.439,1,0.0587,0.636,0.0,0.356,0.733,156.144,153237,4,agronejo,arrocha,sertanejo,sertanejo universitario,
NATTAN,1SXhEXzOTF7YeuQX59m7pT,2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,84,2BlFIe0712LBUtTHxbqjme,0.726,0.814,7,-3.853,1,0.031,0.503,0.0,0.753,0.892,141.934,164075,4,forro,,,,
MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,3khLpwuyIjEOw8vfJ1oUIT,Papin,86,3khLpwuyIjEOw8vfJ1oUIT,0.727,0.786,5,-5.755,0,0.291,0.491,1.52e-05,0.145,0.682,134.571,122667,4,funk 150 bpm,funk carioca,funk rj,,
Hugo & Guilherme,1LIuN7ov1IBQDdLsU83ojl,2pidGuLSSVZPcbzE5QA1Ux,Elevador - Ao Vivo,84,2pidGuLSSVZPcbzE5QA1Ux,0.715,0.729,2,-4.587,1,0.0471,0.498,0.0,0.164,0.717,132.012,155768,4,agronejo,arrocha,sertanejo,sertanejo universitario,
Leo Santana,7KVJCU4z5L4EUHILL8aMxR,15nTZqWfpXZk9Xh043Ognh,Posturado E Calmo,83,15nTZqWfpXZk9Xh043Ognh,0.926,0.875,9,-4.578,1,0.0751,0.7,5.44e-05,0.526,0.789,113.002,187563,4,arrocha,pagode baiano,pop nacional,,
Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,1gUKbDEyGK4uo8t8MdjKMZ,Namorando Ou Não - Ao Vivo,62,1gUKbDEyGK4uo8t8MdjKMZ,0.65,0.677,0,-4.081,1,0.0328,0.643,0.0,0.912,0.527,135.947,168359,4,agronejo,arrocha,,,
Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,85,4ASA1PZyWGbuc4d9N8OAcF,0.636,0.909,0,-3.685,1,0.0439,0.149,0.0,0.719,0.61,154.189,148800,4,arrocha,sertanejo,sertanejo universitario,,
Ana Castela,2CKOmarVWvWqkNWUatHCex,7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,85,7sopDXkuzXtHt8AQpdBxmT,0.68,0.793,1,-4.726,1,0.234,0.437,0.0,0.11,0.728,167.922,145092,4,agronejo,funk rj,sertanejo pop,,
WIU,3MrDVzg7ZXaYMyQmbDInr7,7nFvKgVumc9FcU97zGjjei,Coração de Gelo,85,7nFvKgVumc9FcU97zGjjei,0.732,0.671,10,-4.276,0,0.082,0.124,0.0,0.128,0.836,159.907,168000,4,trap brasileiro,,,,
Belle Kaffer,4N2lyAuQF0kXt3UnsN7XZx,77BR4gaUAp3p0uA8UL6HT9,Não Para,84,77BR4gaUAp3p0uA8UL6HT9,0.892,0.655,7,-7.03,1,0.069,0.116,1.63e-06,0.176,0.764,129.959,180923,4,,,,,
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,6hu4HvpNzrW2RIEEAZC3vD,Segredo,83,6hu4HvpNzrW2RIEEAZC3vD,0.799,0.49,7,-6.788,0,0.178,0.332,0.0,0.106,0.662,86.272,104145,3,trap brasileiro,trap funk,,,
DJ Jeeh FDC,5lal0BjsooQ7ON4t7B73bp,5vdQUAFncALEH9EQvyAqIX,Forte Forte de Lacoste - Pra Começar o Final de Semana,84,5vdQUAFncALEH9EQvyAqIX,0.633,0.589,11,-0.678,0,0.519,0.569,8.04e-06,0.242,0.649,81.889,182769,3,funk mtg,,,,
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,5TtTijiNYtFc6ktQARjY30,Preferida,84,5TtTijiNYtFc6ktQARjY30,0.921,0.461,3,-10.0,0,0.495,0.13,0.0,0.125,0.659,120.035,130375,5,trap brasileiro,trap funk,,,
Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,73,5aqwwgL4XOv2YJYwLiqKOZ,0.596,0.85,11,-4.528,1,0.0523,0.608,0.0,0.41,0.531,138.057,165000,4,sertanejo,sertanejo universitario,,,
Various Artists,0LyfQWJT6nXafLPZqxe9Of,745VUhm32odbxJI2q1rUMv,Ela Voltou de Perna Bamba,85,745VUhm32odbxJI2q1rUMv,0.647,0.899,7,-4.922,1,0.223,0.339,1.08e-05,0.111,0.225,130.167,199384,4,,,,,
